gene,log2FoldChange,pvalue,padj
Gene_1,0.9934283060224653,0.16823657910849188,0.2523548686627378
Gene_2,-0.2765286023423693,0.18993474366102003,0.28490211549153005
Gene_3,1.295377076201385,0.46071217134827547,0.6910682570224131
Gene_4,3.0460597128160507,0.2862798621119409,0.42941979316791135
Gene_5,-0.46830674944667194,0.24746298123314636,0.37119447184971954
Gene_6,-0.4682739138983611,0.6452376445533317,0.9678564668299975
Gene_7,3.158425631014783,0.6509717452185445,0.9764576178278168
Gene_8,1.5348694583058176,0.8245170697999292,1.0
Gene_9,-0.9389487718699042,0.41770856697297587,0.6265628504594638
Gene_10,1.0851200871719293,0.07308509102615024,0.10962763653922536
Gene_11,-0.9268353856249245,0.2736663849214577,0.4104995773821865
Gene_12,-0.9314595071405137,0.9800054631968169,1.0
Gene_13,0.48392454313206823,0.5962585752327021,0.8943878628490531
Gene_14,-3.826560489315596,0.7097370848010203,1.0
Gene_15,-3.4498356650260655,0.007357829625414536,0.011036744438121804
Gene_16,-1.1245750584819454,0.5182057321825209,0.7773085982737813
Gene_17,-2.0256622406688476,0.03752865753180312,0.056292986297704684
Gene_18,0.6284946651905478,0.569230212091448,0.8538453181371719
Gene_19,-1.8160481510424218,0.9207708496360754,1.0
Gene_20,-2.824607402670583,0.9684191305004078,1.0
Gene_21,2.931297537843108,0.5405526753889242,0.8108290130833862
Gene_22,-0.4515526009730713,0.45820480525221596,0.687307207878324
Gene_23,0.13505640937584767,0.945017094248494,1.0
Gene_24,-2.8494963724269136,0.6736098319966951,1.0
Gene_25,-1.0887654490503653,0.06489927953840946,0.09734891930761419
Gene_26,0.22184517941973217,0.46572557766749756,0.6985883665012463
Gene_27,-2.3019871548446056,0.2402450184643039,0.36036752769645586
Gene_28,0.7513960366913439,0.46980432144868156,0.7047064821730223
Gene_29,-1.20127737983761,0.45546557200636173,0.6831983580095427
Gene_30,-0.5833874995865536,0.582144802814742,0.873217204222113
Gene_31,-1.2034132244587938,0.35677049034925123,0.5351557355238769
Gene_32,3.7045563690178756,0.16427044945592806,0.2464056741838921
Gene_33,-0.026994449475867842,0.5037194345899563,0.7555791518849344
Gene_34,-2.1154218579118007,0.8302028843457621,1.0
Gene_35,1.645089824206378,0.6640122280676023,0.9960183421014035
Gene_36,-2.4416872999420445,0.33836786592521584,0.5075517988878238
Gene_37,0.4177271900095108,0.9355230227588572,1.0
Gene_38,-3.919340247759551,0.9122075712491822,1.0
Gene_39,-2.656372097796861,0.20934839938409877,0.31402259907614816
Gene_40,0.39372247173824704,0.039417585120362975,0.05912637768054446
Gene_41,1.4769331599908209,0.7413087083507622,1.0
Gene_42,0.342736562379941,0.8276102613491533,1.0
Gene_43,-0.23129656477648106,0.9678645659513553,1.0
Gene_44,-0.6022073911785776,0.8898363940883107,1.0
Gene_45,-2.9570439807348547,0.6005347682064148,0.9008021523096222
Gene_46,-1.4396884167894173,0.5300523392123808,0.7950785088185712
Gene_47,-0.921277541919575,0.02784105126258629,0.04176157689387944
Gene_48,2.1142444524378314,0.24665644684477783,0.36998467026716675
Gene_49,0.6872365791369228,0.45961475173292643,0.6894221275993897
Gene_50,-3.526080310725468,0.6285039000835678,0.9427558501253517
Gene_51,0.64816793878959,0.5572518333184107,0.835877749977616
Gene_52,-0.7701645608326331,0.7426359896816905,1.0
Gene_53,-1.3538440006119175,0.27976693088704085,0.4196503963305613
Gene_54,1.2233525776817358,0.5649526076524732,0.8474289114787099
Gene_55,2.061999044991902,0.08814224339079213,0.1322133650861882
Gene_56,1.8625602382323971,0.41366552358320696,0.6204982853748104
Gene_57,-1.678435046445277,0.750160832954601,1.0
Gene_58,-0.6184247517024292,0.693400853429044,1.0
Gene_59,0.6625268628071279,0.990642737172179,1.0
Gene_60,1.9510902542447184,0.277891125987756,0.416836688981634
Gene_61,-0.9583484756905799,0.49818929917397914,0.7472839487609687
Gene_62,-0.37131795332763423,0.3295304137739967,0.4942956206609951
Gene_63,-2.2126699480120564,0.44060311405917474,0.660904671088762
Gene_64,-2.3924132481613416,0.8569501298693881,1.0
Gene_65,1.625051644788396,0.6842090751884866,1.0
Gene_66,2.712480057141646,0.8824411913475817,1.0
Gene_67,-0.1440202431606677,0.20351110833188646,0.3052666624978297
Gene_68,2.0070657957840483,0.873361117841438,1.0
Gene_69,0.7232720500952683,0.05976227417838442,0.08964341126757663
Gene_70,-1.2902395092102485,0.8885992804371524,1.0
Gene_71,0.7227912110168279,0.3290737794607279,0.49361066919109187
Gene_72,3.0760731329319384,0.3145876334140665,0.4718814501210997
Gene_73,-0.07165207821990308,0.5120885766986639,0.7681328650479959
Gene_74,3.1292873116280124,0.9406901877232318,1.0
Gene_75,-5.239490208179489,0.04778136468140537,0.07167204702210805
Gene_76,1.6438050087504477,0.3522309750707453,0.528346462606118
Gene_77,0.17409413647634245,0.8565719886833357,1.0
Gene_78,-0.5980147009317349,0.39605447743546673,0.5940817161532002
Gene_79,0.1835215530710046,0.199156897597067,0.2987353463956005
Gene_80,-3.9751378292017856,0.4247941813314118,0.6371912719971177
Gene_81,-0.43934377567502386,0.3855525014916693,0.578328752237504
Gene_82,0.7142251430234928,0.9154162014667034,1.0
Gene_83,2.955788089483032,0.7619343757430971,1.0
Gene_84,-1.0365404365472948,0.5051155557440064,0.7576733336160095
Gene_85,-1.6169872057863752,0.9883705667215711,1.0
Gene_86,-1.003514087169073,0.4652775312759233,0.697916296913885
